index,True_False_Ratio,hour_per_day,positive,negative,cases_per_100000,state_OR,is_claim,price_alt,is_delivery,is_pickup,updated_review_count,updated_rating,is_open_api
67,0.526315789,11.42857143,0.038047974,0.015715467,6135.892307,0,1,2,0,0,32,5,1
68,0.285714286,17,0.039766082,0.01871345,12351.68185,0,1,2,0,0,15,3.5,1
69,0,6.8,0.06374502,0.010956175,5065.2,1,1,1.78,1,1,26,3.5,1
70,0.266666667,8,0.057118131,0.01947209,9026.812652,0,0,1,1,0,109,4,1
71,0.448275862,11.14285714,0.05447619,0.019047619,9426.7,1,1,2,1,1,283,3.5,0
72,0.461538462,7.333333333,0.049401198,0.012350299,9108.4,1,1,2,1,1,60,4.5,1
73,1,10,0.056785371,0.010587103,5756.883854,0,1,1.78,1,1,19,4,1
74,0.387096774,6.5,0.057931034,0.015172414,4855.3,1,1,2,1,1,135,3.5,1
75,0.3,8,0.039480019,0.023591719,9108.4,1,1,2,0,0,24,2.5,0
76,0.166666667,7,0.077192982,0,10515.1,1,1,2,0,0,44,4.5,1
77,0.387096774,12.42857143,0.065404475,0.018932874,7636.1,1,1,1,1,1,119,3.5,1
78,0,9.285714286,0.019404019,0.021483021,3350.648787,0,1,1.78,0,0,23,1.5,1
79,0.242424242,7.6,0.065304088,0.013459621,10515.1,1,1,2,1,0,42,4.5,1
80,0.28125,15,0.023312883,0.028220859,5043.2,1,1,1,1,0,57,2,1
81,0.111111111,0,0.022857143,0.022142857,7942.919638,0,0,1.78,0,0,65,2.5,1
82,0.5,11.85714286,0.0781893,0.013374486,8678.216679,0,1,1.78,0,0,51,5,1
83,0,13,0.051702396,0.020176545,9840.8,1,1,1.78,0,0,9,4,1
84,0.375,0,0.041184041,0.015444015,8937.6,1,0,2,0,0,59,3.5,1
85,0.387096774,11.57142857,0.051473477,0.013752456,9348.770421,0,1,2,1,1,273,3.5,1
86,0.35483871,12,0.040614165,0.017335315,9348.770421,0,1,2,1,1,218,4,1
